"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"CARBIDOPA-LEVODOPA 10-100 TAB",68002010002,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",68002010004,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",69367033801,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",69367033805,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",72888010600,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",72888010601,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",72888010605,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 10-100 TAB",75907002201,0.09249,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",00093970201,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",00093970205,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",00093970210,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",00378008501,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",00904750161,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",31722038201,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",31722038205,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",31722038210,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",50228045801,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",50228045805,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",50228045810,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",52817039100,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",52817039110,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",52817039150,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",59651045701,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",59651045705,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",60687066101,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",60687066111,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",69367033901,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",69367033905,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",69367033910,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",72888010700,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",72888010701,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",72888010705,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",75907002001,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",75907002005,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-100 TAB",75907002010,0.07238,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",00093970301,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",00093970305,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",00093970310,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",00228254010,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",00228254096,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",00904754961,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",31722038301,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",31722038305,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",31722038310,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",50228045901,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",50228045905,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",52817039200,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",52817039210,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",52817039250,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",59651045801,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",59651045805,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",60687083601,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",60687083611,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",69367034001,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",69367034005,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",72888010800,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",72888010801,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",72888010805,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",75907002101,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA 25-250 TAB",75907002105,0.11041,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 12.5-50-200 MG TAB",00781561301,0.68913,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 12.5-50-200 MG TAB",16571068901,0.68913,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 18.75-75-200 MG TAB",00781562501,0.70682,10/22/2025,EA,C/I,N,"4, 6",G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 18.75-75-200 MG TAB",16571069001,0.70682,10/22/2025,EA,C/I,N,4,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 25-100-200 MG TAB",00781563701,0.62888,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 25-100-200 MG TAB",16571069101,0.62888,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 25-100-200 MG TAB",62332079731,0.62888,04/29/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 31.25-125-200 MG TAB",00781564101,0.69293,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 31.25-125-200 MG TAB",16571069201,0.69293,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 31.25-125-200 MG TAB",62332079831,0.69293,04/29/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 37.5-150-200 MG TAB",00781565401,0.66049,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 37.5-150-200 MG TAB",16571069301,0.66049,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 37.5-150-200 MG TAB",62332079931,0.66049,04/29/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 50-200-200 MG TAB",00781566901,0.75601,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 50-200-200 MG TAB",16571069401,0.75601,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBIDOPA-LEVODOPA-ENTACAPONE 50-200-200 MG TAB",62332080031,0.75601,04/29/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBINOXAMINE 4 MG/5 ML LIQUID",64950024304,0.95649,06/18/2025,ML,C/I,N,"4, 5",G,,,04/29/2026
"CARBINOXAMINE ER 4 MG/5 ML SUSP",62542010105,1.04881,04/22/2026,ML,C/I,N,"1, 5, 6",G,,,04/29/2026
"CARBINOXAMINE MALEATE 4 MG TAB",44523082501,0.42875,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBINOXAMINE MALEATE 4 MG TAB",64950021101,0.42875,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARBOXYMETHYLCELL 0.5% EYE DRP",50268006770,0.13786,07/23/2025,EA,C/I,Y,"4, 5",G,,,04/29/2026
"CARBOXYMETHYLCELL 0.5% EYE DRP",50268006730,0.20671,04/22/2026,EA,C/I,Y,"1, 5",G,,,04/29/2026
"CARBOXYMETHYLCELL 0.5% EYE DRP",50268006750,0.25311,04/22/2026,EA,C/I,Y,"1, 5",G,,,04/29/2026
"CARBOXYMETHYLCELL 0.5% EYE DRP",00536138635,0.29401,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"CARBOXYMETHYLCELL 0.5% EYE DRP",00536138694,0.39178,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"CARBOXYMETHYLCELL 0.5% EYE DRP",50268006815,0.39178,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"CARDURA XL 4 MG TABLET",58151007893,6.97397,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"CARISOPRODOL 250 MG TABLET",16571078001,0.43195,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 250 MG TABLET",51525590101,0.43195,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARISOPRODOL 250 MG TABLET",52536068210,0.43195,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 250 MG TABLET",69367041901,0.43195,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",16571078101,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",16571078110,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",16571078150,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",50228010901,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",50228010905,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",50228010910,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",50742065601,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",62135024112,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",69367042001,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",69367042005,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",69584011110,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",69584011150,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARISOPRODOL 350 MG TABLET",69584011190,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CAROSPIR 25 MG/5 ML SUSPENSION",46287002004,3.51917,04/22/2026,ML,C/I,N,"1, 5",B,1.76623,04/22/2026,04/29/2026
"CARTEOLOL HCL 1% EYE DROPS",61314023810,1.51524,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"CARTEOLOL HCL 1% EYE DROPS",61314023805,1.76460,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"CARTIA XT 120 MG CAPSULE",62037059705,0.14581,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 120 MG CAPSULE",62037059790,0.14581,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 180 MG CAPSULE",62037059805,0.17991,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 180 MG CAPSULE",62037059890,0.17991,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 240 MG CAPSULE",62037059905,0.19207,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 240 MG CAPSULE",62037059990,0.19207,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 300 MG CAPSULE",62037060005,0.30909,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARTIA XT 300 MG CAPSULE",62037060090,0.30909,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",00093729501,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",00093729505,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",00781522301,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",00904730761,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",65862014401,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",65862014405,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68001015100,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68001015103,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68382009401,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68382009405,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68462016401,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68462016405,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",68645035159,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",72888003600,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",72888003601,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",72888003605,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",76385011250,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 12.5 MG TABLET",82009012705,0.02100,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",00093729601,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",00093729605,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",00781522401,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",00904730861,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",65862014501,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",65862014505,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68001015200,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68001015203,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68382009501,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68382009505,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68462016501,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68462016505,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",68645049659,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",72888003700,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",72888003701,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",72888003705,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",76385011350,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 25 MG TABLET",82009012805,0.03153,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",00093005101,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",00093005105,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",00781522101,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",00904730561,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",65862014201,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",65862014205,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",68001015300,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",68001015303,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",68382009201,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",68382009205,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",68462016201,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",68462016205,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",72888003400,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",72888003401,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",72888003405,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",76385011050,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 3.125 MG TABLET",82009012505,0.01718,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",00093013501,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",00093013505,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",00781522201,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",00904730661,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",65862014301,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",65862014305,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68001015400,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68001015403,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68084085401,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68084085411,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68382009301,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68382009305,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68462016301,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68462016305,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",68645035059,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",72888003500,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",72888003501,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",72888003505,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",76385011150,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL 6.25 MG TABLET",82009012605,0.01848,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 10 MG CAPSULE",00115124808,6.86797,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 10 MG CAPSULE",16714022701,6.86797,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 10 MG CAPSULE",57664066383,6.86797,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 20 MG CAPSULE",00115124908,6.84016,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 20 MG CAPSULE",16714022801,6.84016,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 20 MG CAPSULE",57664066483,6.84016,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 40 MG CAPSULE",00115125008,5.65630,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 40 MG CAPSULE",16714022901,5.65630,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 40 MG CAPSULE",57664066583,5.65630,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 40 MG CAPSULE",60505471503,5.65630,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"CARVEDILOL ER 80 MG CAPSULE",00115125108,5.62510,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 80 MG CAPSULE",16714023001,5.62510,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CARVEDILOL ER 80 MG CAPSULE",57664066683,5.62510,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CASTOR OIL",70000002401,0.01857,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"CASTOR OIL",24385051530,0.01902,04/22/2026,ML,C/I,Y,"1, 5",G,,,04/29/2026
"CATHFLO ACTIVASE 2 MG VIAL",50242004164,186.37960,01/01/2026,EA,C/I,N,"4, 5",B,,,04/29/2026
"CAVERJECT IMPULSE 10 MCG KIT",00009518101,82.49054,01/01/2026,EA,C/I,N,4,B,,,04/29/2026
"CAVERJECT IMPULSE 20 MCG KIT",00009518201,106.33895,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"CEFACLOR 250 MG CAPSULE",61442017130,0.87326,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFACLOR 500 MG CAPSULE",61442017230,1.23024,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFADROXIL 1 GM TABLET",00093405953,3.91346,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFADROXIL 250 MG/5 ML SUSP",16714038901,0.18726,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"CEFADROXIL 250 MG/5 ML SUSP",57237009701,0.18726,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"CEFADROXIL 250 MG/5 ML SUSP",65862008301,0.18726,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"CEFADROXIL 250 MG/5 ML SUSP",68180018102,0.18726,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"CEFADROXIL 500 MG CAPSULE",00093319601,0.28603,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFADROXIL 500 MG CAPSULE",00093319653,0.28603,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFADROXIL 500 MG CAPSULE",16714038801,0.28603,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFADROXIL 500 MG CAPSULE",16714038802,0.28603,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"CEFADROXIL 500 MG CAPSULE",57237009601,0.28603,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
