"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"PREDNISONE 5 MG TABLET",00603533721,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",00603533732,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",59651048601,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",59651048699,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",60219170601,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",60219170607,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",60687012201,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",60687012211,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",60687090301,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",60687090311,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",62135047118,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",62135047190,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",64380078306,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",64380078308,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",70954005810,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG TABLET",70954005820,0.03732,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 5 MG/5 ML SOLUTION",00054372250,0.41499,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PREDNISONE 5 MG/5 ML SOLUTION",00054372263,0.61051,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PREDNISONE 50 MG TABLET",59651048901,0.17803,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 50 MG TABLET",60687085401,0.17803,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 50 MG TABLET",60687085411,0.17803,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 50 MG TABLET",64380094906,0.17803,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE 50 MG TABLET",70954006110,0.17803,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREDNISONE INTENSOL 5 MG/ML",00054372144,3.29763,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",00904700161,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",13668036105,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",31722061305,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",31722061390,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",43547050909,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",43598029466,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",43598029479,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",43598029490,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",50228035390,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",60687050601,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",60687050611,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",62135044690,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",62332012290,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",64980041309,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",64980041310,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",65862076190,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",67877046505,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",67877046590,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",69097068105,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",69238131309,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",69367032709,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",69367042705,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",69367042709,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",72205001490,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 100 MG CAPSULE",76282057190,0.05447,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",00904700261,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",13668036205,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",31722061405,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",31722061490,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",43547051009,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",43598029566,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",43598029579,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",43598029590,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",50228035490,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",60687051701,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",60687051711,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",62135044790,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",62332012390,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",64980041409,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",64980041410,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",65862076290,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",67877046605,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",67877046690,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",69097068205,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",69238131409,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",69367032809,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",69367042805,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",69367042809,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",72205001590,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 150 MG CAPSULE",76282057290,0.05143,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 20 MG/ML SOLUTION",39328009016,0.15524,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PREGABALIN 20 MG/ML SOLUTION",59762157601,0.15524,04/22/2026,ML,C/I,N,"1, 5, 6",G,,,04/29/2026
"PREGABALIN 20 MG/ML SOLUTION",67877045747,0.15524,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",00904700304,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",13668036305,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",31722061505,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",31722061590,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",43547051109,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",43598029690,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",50228035590,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",59762135401,0.05865,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",60505379809,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",62332012490,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",64980041509,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",65862076390,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",67877046705,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",67877046790,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",69097068305,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",69238131509,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",69367032909,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",69367042905,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",69367042909,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",72205001690,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 200 MG CAPSULE",76282057390,0.05865,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",00904700404,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",13668036405,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",31722061605,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",31722061690,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",43547051209,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",43598029790,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",50228035690,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",60505379909,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",62332012590,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",64980041609,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",65862076490,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",67877046805,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",67877046890,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",69097068405,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",69238131609,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",69367033009,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",69367043009,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",72205001790,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 225 MG CAPSULE",76282057490,0.05620,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",00904699104,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",00904699161,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",13668035805,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",31722061005,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",31722061090,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",43547050609,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",43598029190,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",50228035090,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",60687047301,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",60687047311,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",62332011990,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",64980041009,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",65862075890,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",67877046205,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",67877046290,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",69097067705,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",69238131009,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",69367032409,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",69367042405,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",69367042409,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
